,work,date,composer,librettist,based_on,language
3031,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3032,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3033,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3034,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3035,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3036,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3037,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3038,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3039,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3040,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3041,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3042,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3043,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3044,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3045,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3046,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3047,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3048,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3049,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3050,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3051,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3052,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3053,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3054,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3055,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3056,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3057,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3058,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3059,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3060,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3061,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3062,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3063,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3064,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3065,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3066,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3067,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3068,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3069,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3070,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3071,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3072,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3073,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3074,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3075,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3076,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3077,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3078,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3079,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3080,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3081,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3082,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3083,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3084,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3085,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3086,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3087,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3088,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3089,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3090,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3091,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3092,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3093,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3094,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3095,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3096,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3097,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3098,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3099,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3100,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3101,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3102,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3103,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3104,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3105,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3106,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3107,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3108,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3109,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3110,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3111,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3112,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3113,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3114,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3115,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3116,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3117,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3118,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3119,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3120,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3121,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3122,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3123,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3124,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3125,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3126,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3127,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3128,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3129,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3130,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3131,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3132,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3133,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3134,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3135,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3136,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3137,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3138,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3139,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3140,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3141,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3142,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3143,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3144,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3145,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3146,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3147,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3148,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3149,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3150,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3151,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3152,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3153,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3154,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3155,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3156,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3157,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3158,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3159,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3160,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3161,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3162,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3163,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3164,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3165,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3166,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3167,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3168,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3169,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
